job_title,company,location,job_type,salary,posted_on,job_qualification,job_description
Data Engineer - Architecture, Vantage Point Consulting - 3.2 ," Houston, TX", Contract, Estimated: $119K - $151K a year, 3 days ago,"['Data mining', 'Data structures', 'Data analysis skills', 'SQL', 'AWS', 'PostgreSQL']","['Location:', 'Chicago or Houston or Remote', '', 'Duration:', '6+ months contract', '', '', 'Job Description:', '', 'United is modernizing the functionality and the user experience to enable the logistical shipment and receiving of parts required for scheduled aircraft maintenance events.', 'This will enable United to have the right parts, at the right place and at the right time to provide maintenance to aircraft.', 'AOG and BMC operate from over 15 stand-alone applications and rely on emails to channel requests and information, which impacts situational awareness and status resulting in delayed decision-making and oversights, that with time are costly to the operation.', 'This project will modernize the experience and provide United with the tools needed to facilitate decisions and provide transparency in tracking where parts are at in the procurement and shipping process.', 'Need someone that has the ability to work in both a technical and functional capacity on the team', 'From a technical standpoint creating a data structure to support the data functions but could control the data aspect. Want them more technical in nature they are able to create an appropriate data structure with multiple inputs and outputs and helping with the data services and pieces', 'Need someone self-sufficient and has experience interacting with the business team to understand the structure of the project', '', '', 'Top Skills', '', 'Data Mining, Architecting and Modeling', 'Highly proficient in SQL and nice to have is comfortable with foundry or frontier', 'Data Analysis and Design Solutions', 'PostgresSQL – Need Experience with AWS', 'Creating the architecture step above a data analysis creating new data structure and architecture', 'Design Solutioning', 'Ability to develop user stories', 'Familiarity with Supply chain Data - Pyramids or branch of supply chain']"
Associate Data Engineer, 48forty Solutions - 2.8 ," Houston, TX", Full-time, Estimated: $66.2K - $83.8K a year, 4 days ago,"['CI/CD', 'Power BI', 'Azure', 'DevOps', 'Spark', 'Test automation', 'Microsoft SQL Server', 'Git', 'SQL', 'Analysis skills', 'Data visualization', '2 years', 'Communication skills']","['48forty Solutions is the largest pallet management services company in North America. We provide end-to-end pallet solutions, from supply to retrieval, on-site services, reverse logistics, and packaging materials. 48forty Solutions is truly Pallet Management Made Simple. Our operations workforce is the heart and soul of our business. We are currently looking for an', 'Associate Data Engineer.', '', 'Summary', '', 'As an Associate Data Engineer, you will be responsible for supporting the design, development, and maintenance of data pipelines and data processing systems using various technologies such as Azure, Spark SQL, SQL Server, Azure Data Factory, Azure Databricks, Azure DevOps, Git, Power BI, Azure Synapse Analytics, and Azure Databricks. You will work under the guidance of more senior data engineers and play a vital role in ensuring the availability, reliability, and scalability of data infrastructure and supporting data-driven initiatives within the organization.', '', 'Essential Duties and Responsibilities', '', '', 'Data pipeline development:', 'Collaborate with the data engineering team to develop and maintain data pipelines, ETL processes, and data integration workflows using Azure Data Factory, Azure Synapse Analytics, Spark SQL, and other relevant technologies. Ensure the timely and accurate movement of data between systems.', '', 'Data processing and transformation:', 'Assist in implementing data processing and transformation logic using Azure Synapse Analytics, Spark SQL or Databricks. Extract insights from raw data and transform it into meaningful and structured formats in our data products.', '', 'Azure service utilization:', 'Work with Azure services such as SQL Server, Azure Data Factory, Azure Synapse and Azure Databricks to build and manage data infrastructure components. Leverage the capabilities of these services to ensure efficient and scalable data processing.', '', 'Version control and collaboration:', 'Utilize Azure DevOps and Git for version control and collaborate effectively with the team to manage code repositories and ensure proper documentation and knowledge sharing.', '', 'Azure DevOps integration:', 'Assist in integrating data engineering workflows with Azure DevOps for continuous integration, continuous deployment, and automated testing. Contribute to the implementation of CI/CD pipelines for data engineering projects.', '', 'Data visualization and reporting:', 'Gain exposure to Power BI and support the team in developing insightful and visually appealing reports and dashboards to communicate data insights effectively to stakeholders.', '', 'Troubleshooting and support:', 'Assist in identifying and resolving data pipeline issues, bottlenecks, and data quality problems. Provide support in investigating and troubleshooting data-related incidents.', '', 'Continuous learning and growth', ': Stay updated with the latest advancements in data engineering technologies and tools. Continuously enhance your knowledge of Azure services and data engineering best practices.', '', '', 'Qualifications and Skills', '', '', '2-5 years of experience in data engineering, data integration, or related roles.', '', 'Hands-on experience with Azure services, including Azure Data Factory, Azure Synapse, and Azure Databricks.', '', 'Proficiency in SQL programming and experience working with SQL Server.', '', 'Familiarity with Spark SQL or Databricks for data processing and transformation.', '', 'Exposure to Git for version control and collaborative development.', '', 'Knowledge of Azure DevOps practices for CI/CD and automated testing.', '', 'Experience with data visualization tools, such as Power BI, for developing reports and dashboards.', '', 'Understanding of Azure Analysis Services and Azure Synapse Analytics is a plus.', '', 'Strong problem-solving skills and attention to detail.', '', 'Good communication and teamwork skills, with the ability to work effectively in a collaborative environment.', '', 'Self-motivated and eager to learn and grow in the field of data engineering.', '', '', 'Work Environment', '', 'The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential job functions.', '', '', 'The employee will be working at the corporate office and will be required to sit for long periods of time at a desk working on a laptop.', '', 'The noise level in the work environment is usually moderate.', '', '', 'Benefits', '', '', 'Competitive Pay', '', 'Holiday Pay', '', 'Referral Bonuses', '', 'Long-Term Career Advancement', '', 'Great Team Environment', '', 'PTO', '', 'Full-time employees eligible for Medical, Dental, Vision, Basic Life, AD&D and Short-Term & Long-Term Disability insurance on the 1st of the month following 60 days of employment', '', '', '48forty Solutions', 'is an equal opportunity employer.', 'Privacy Policy', '', 'CA Applicant', '', 'CA Workforce']"
Data Engineer, Informa Tech - 3.0 ," Austin, TX", Full-time, Estimated: $110K - $139K a year, 4 days ago,"['Jira', 'Power BI', 'Visual Basic', 'Kanban', 'C#', 'R', 'Business analysis', 'Alteryx', 'Process improvement', 'Tableau', 'SQL', 'AWS', 'Six Sigma', 'Smartsheet', 'Scripting', 'Rally', 'Scrum', 'VBA', 'Agile', 'Apache', 'Communication skills', 'Python', 'SDLC']","['Company Description', 'Informa Tech informs, educates and connects the technology community through world-class research, training, events and media. A vibrant community of over 1,000 colleagues across 19 locations, we’re dedicated to inspiring the tech community to design better, to build better.', 'Which is why we champion you, the individual, to make an impact through change and innovation. Life at Informa means more freedom and fewer barriers. Our entrepreneurial spirit runs deep, encouraging our team to stick their hands up to spark innovation, or get stuck in to deliver amazing results. It’s time to feel the impact of your work and enjoy making a difference. Are you ready to start your future, today?', '', '', 'Job Description', 'Purpose of Role', 'This Data Engineer is a member of the Data & Analytics Community at Informa Tech and is a unique role among a group of Data Analysts in the Central Data & Analytics team within Informa Tech’s Strategy department. They will develop and maintain solutions to support the collection, storage, enrichment, and delivery of data from across our varied businesses practices. The successful candidate will work with cross-functional teams to help design, build, test, deploy, maintain, and enhance pipelines and tools to improve business data accessibility, quality, transparency, and understandability.', 'Key Responsibilities', 'Developing and maintaining tools, processes, and pipelines needed to successfully (reliably, on time, and at high quality) deliver critical data products from most business data domains (audience development, event registration and sponsorship, client and product—e.g. SalesForce, HR/people, and more) into internal user-facing platforms.', 'Supporting all phases of the software development life cycle, including plan, design, implement, test/integrate/deploy, and maintain', 'Evaluating requests for new datasets by assessing their feasibility, development effort, and value', 'Managing relationships with technical (e.g. data analysts, data product managers, marketing platform admins, other data/technology teams) and business user (e.g. marketing, sales, events, content) stakeholders of all levels, including identifying and resolving risks/issues, prioritizing work, and organizing/attending stakeholder meetings and other communications', 'Acting as an interface between the Informa Tech Data Analytics Community and other data engineering colleagues/teams within Informa Tech and Informa Group.', 'Implementing best practices for data tooling, testing, and implementation; training internal users, coordinating with peers throughout Informa Tech and Informa Group to share knowledge and best practices; participate in relevant data governance processes', 'Regularly soliciting, evaluating, and prioritizing feedback to continuously improve data products and processes', 'Staying up to date on current and emerging industry best practices, tools, and techniques', '', '', 'Qualifications', 'Experience & Qualifications', 'Familiarity with the entire data life cycle', 'Demonstrable success building data pipelines (ingestion, cleansing, and ETL/ELT) with cloud platforms (AWS, Power BI Service—Power Query and data flows/data sets/data marts—any Microsoft Fabric experience a plus, Alteryx, Apache Airflow, etc.)', 'Successful track record in building and maintaining data tools in SQL', 'Experience in scripting/programming languages (e.g., Python, R, VBA, VB.Net, C#, etc.)', 'Familiarity with reporting and visualization tools such as Power BI and Tableau', 'Experience in documenting processes, procedures, and standards', 'Prior experience collaborating with Business Analyst and Product Owner roles to effectively develop products (especially data products) a plus', 'Prior experience working under Agile frameworks (Kanban, Scrum) and familiarity with related tools (Jira, Rally/CA Agile Central, Smartsheet, etc.) a plus', 'Experience and comfort interacting with stakeholders and consumers across the business', 'Process improvement qualification or experience (e.g., Lean/Six Sigma) a plus', 'Academic or professional experience related field(s) (e.g., Data Analytics, Statistics, Software Engineering, Computer Science, Information Technology, Mathematics, Engineering) a plus', 'Knowledge & Skills', 'A genuine affinity for problem solving - having an inquisitive and positive mindset to overcome complex challenges', 'Entrepreneurial spirit – able to constructively question and criticize existing processes, identify potential for new processes, advocate for identified enhancements to convince stakeholders, and proactively pursue execution (including self-organizing with related colleagues)', 'Product-centric mindset (as opposed to project-centric) to deliver value early and continuously, including understanding and embracing the product life cycle', 'Strong attention to detail and proactive in highlighting and resolving errors/issues', 'Communication and presentation skills and ability to collaborate effectively across groups and time zones', 'Additional Information', 'Just as no two days are the same, at Informa Tech we recognise that no two people are the same, putting diversity and inclusivity at the heart of what we do. This doesn’t happen by chance. We actively work to create a shared culture. It’s a place where individuals bring their own experience and insights to discover new opportunities and build a varied career. We want you to thrive as part of a fantastic community. We champion', 'you', '.']"
Lead Big Data Engineer, ITgen systems," Dallas, TX", Contract, $60 - $70 an hour, 4 days ago,"['Azure', 'Spark', 'Apache Hive', 'Software development', 'ETL', 'Agile', '2 years', 'Python', 'Hadoop']","['Job Title: Lead Big Data Engineer', 'Location: Dallas, TX (Hybrid)', 'Duration: 12 Months.', 'Job Description :', 'MUST HAVE', '', '4 Years of Azure – REQUIRED.', '4+ years of', 'Data engineering', 'experience', '4+ years of experience in any or all', 'Big-Data stack', 'such as', 'Hadoop, Hive, Spark, python', '4+ years of Relational data base experience', '4 + years of', 'ETL (Extract, Transform, Load)', 'development experience using any Big-Data technology', '2+ years of', 'Agile', 'software development experience', 'Job Type: Contract', 'Salary: $60.00 - $70.00 per hour', 'Experience:', 'ETL: 3 years (Required)', 'AZURE: 4 years (Required)', 'Agile: 3 years (Required)', 'Data Engineering: 4 years (Required)', 'Hadoop/Hive: 4 years (Required)', 'Work Location: Hybrid remote in Dallas, TX 75201']"
Data Engineer, Medici - 5.0 ," Austin, TX",, Estimated: $104K - $132K a year, 4 days ago,"['Performance tuning', 'Computer science', 'Data modeling', 'Azure', 'Oracle', 'Computer Science', 'Data lake', 'Relational databases', 'Encryption', 'Microsoft SQL Server', 'Google Cloud Platform', 'MongoDB', '3 years', 'SQL', 'AWS', 'Analysis skills', ""Bachelor's degree"", 'PostgreSQL', 'ETL', 'AI', 'Communication skills', 'Data warehouse', 'MySQL']","['Overview', 'Medici is changing the healthcare system by delivering best-in-class preventative and complex condition care that dramatically improves outcomes, provides quick access to care, and significantly reduces medical costs. We’ve been able to accomplish this by providing holistic, AI-infused, comprehensive, and integrated care, Medici helps members become healthier while delivering cost savings to employers.', 'About the role', 'We are seeking an experienced Data Engineer with 3-5 years of hands-on', 'experience in working with PostgreSQL, SQL Server, SQL, and schema design. As a Data Engineer,', 'you will be responsible for managing and optimizing our data infrastructure, ensuring the efficient', 'storage, retrieval, and processing of data. You will collaborate closely with cross-functional teams to', 'design and implement scalable data solutions, enabling data-driven decision-making across the', 'organization.', '', 'Key Responsibilities', 'Data Infrastructure Management: Design, develop, and maintain the data infrastructure, including databases, data pipelines, and ETL processes, to support efficient data storage, retrieval, and processing.', 'Schema Design: Collaborate with data scientists, analysts, and other stakeholders to design database schemas that optimize data retrieval and storage while adhering to industry best practices.', 'Data Modeling: Create and maintain data models and data dictionaries to ensure consistency and standardization across data sources and systems.', 'Performance Optimization: Monitor and fine-tune database performance by identifying and resolving bottlenecks, optimizing queries, and implementing indexing strategies.', 'ETL Development: Develop and maintain scalable Extract, Transform, Load (ETL) processes to ensure data quality, integrity, and timeliness.', 'Data Security: Implement and maintain data security measures, including access controls, data encryption, and compliance with relevant regulations (e.g., GDPR, HIPAA).', 'Data Quality and Governance: Establish data quality standards, perform data profiling, and implement data governance processes to ensure data accuracy, consistency, and completeness.', 'Collaboration and Communication: Collaborate with cross-functional teams, including data scientists, analysts, software engineers, and business stakeholders, to understand data requirements and translate them into technical solutions. Communicate effectively to present complex technical concepts to non-technical stakeholders.', 'Documentation: Document data infrastructure, processes, and technical specifications to ensure knowledge transfer and enable smooth maintenance and troubleshooting.', 'Continuous Learning: Stay up-to-date with emerging technologies, trends, and best practices in data engineering and apply them to improve existing systems and processes.', 'Required Skills and Qualifications', ""Bachelor's degree in Computer Science, Engineering, or a related field."", '3-5 years of professional experience as a Data Engineer or in a similar role.', 'Strong proficiency in working with relational databases, particularly PostgreSQL and SQL Server, including database design, querying, optimization, and performance tuning.', 'Solid understanding of SQL and experience with advanced SQL concepts, such as subqueries, window functions, and stored procedures.', 'Experience with data modeling and schema design, including normalization, denormalization, and indexing strategies.', 'Strong knowledge of ETL processes and tools for data integration, transformation, and loading.', 'Familiarity with data warehouse concepts and technologies (e.g., star schema, data lakes).', 'Understanding of data security principles and experience implementing data security measures.', 'Excellent problem-solving and analytical skills with the ability to work on complex data-related challenges.', 'Strong communication and collaboration skills with the ability to work effectively in a cross-functional team environment.', 'Attention to detail and a commitment to delivering high-quality work.', 'Self-motivated and able to work independently with minimal supervision.', 'Familiarity with other database systems, such as MySQL, Oracle, or MongoDB, is a plus.', 'Knowledge of cloud platforms and services, such as AWS, Azure, or GCP, is a plus.']"
Data Engineer, TDECU - 4.5 ," Sugar Land, TX", Full-time," $106,000 - $140,000 a year", 2 days ago,"['Microsoft Powerpoint', 'Microsoft Word', 'Computer science', 'Microsoft Excel', 'Microsoft Access', 'Azure', 'Data mining', 'Computer Science', '5 years', 'C#', 'Business analysis', 'Visio', 'Information Systems', 'Microsoft Office', 'Java', 'SQL', 'Database design', 'Analysis skills', ""Bachelor's degree"", 'Data management', 'Scripting', 'GitHub', 'SSIS', 'TFS', 'Communication skills', 'Python', 'Master data management', 'T-SQL']","['*NOTICE! YOU MUST BE LOCATED IN THE HOUSTON METRO AREA (TEXAS) TO BE CONSIDERED FOR THIS ROLE*', 'The Data Engineer role will be responsible to analyze raw data, develop and maintain datasets, improve data quality and efficiency, identify business intelligence, reporting, and data analysis needs. They will work closely with end-users and business units to turn data into critical information and knowledge that can be used to make sound business decisions.', 'Essential Duties and Responsibilities:', 'Analyze and organize raw data', 'Build data systems and pipelines', 'Evaluate business needs and objectives', 'Interpret trends and patterns', 'Conduct complex data analysis and report on results', 'Prepare data for prescriptive and predictive modeling', 'Build algorithms and prototypes', 'Combine raw information from different sources', 'Explore ways to enhance data quality and reliability', 'Identify opportunities for data acquisition', 'Develop analytical tools and programs', 'Collaborate with data scientists and architects on several projects', 'Minimum Qualifications:', '', '(Education, Licensure, Experience, Knowledge, Skills, and Abilities)', 'Education:', 'Bachelor’s degree in Computer Science, Information Systems, or related field OR equivalent combination of education and work experience', 'Certifications:', 'Microsoft Azure, Snowflake', 'Experience:', 'A minimum of 5 years experience in Cloud Data platform like Azure, Snowflake, Matillion, Microsoft Integration Services, Reporting Services, business documentation, and T-SQL systems.', 'Experience working with master data management technologies preferred.', 'Experience working with streaming data technologies preferred.', 'Experience in a financial institution preferred.', 'Previous experience as a data engineer or in a similar role', 'Technical expertise with data models, data mining, and segmentation techniques', 'Knowledge of programming languages (e.g. Java and Python)', 'Hands-on experience with SQL database design', 'Great numerical and analytical skills', 'Knowledge, Skills, and Abilities:', 'Working knowledge of Microsoft stack (Azure, Integration Services, Reporting Services, and Analysis Services)', 'C# knowledge for SSIS scripting', 'Competent with MS Office (Word, Excel, PowerPoint, Access, Visio)', 'In depth knowledge of SISS and its capabilities.', 'Knowledge of T-SQL and ANSI SQL stored procedures with multiple parameters.', 'Ability to perform business analysis and documentation.', 'Experience in ADO, GitHub, Team Foundation Server or other source control system.', 'Ability to do data integrity and validation; and manage multiple priorities simultaneously.', 'Excellent written and oral communication skills to Identifies, researches, and resolves technical problem.', 'Ability to work both independently and within teams.', 'Physical Demands and Work Environment:', '(The physical demands and work environment characteristics described herein are representative of those that must be met by an employee to successfully perform essential functions of this position and/or may be encountered while performing essential functions. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.', 'Hybrid General: On average, employees in this role report to a designated TDECU office location 1-2 days per week.', 'Disclaimer:', 'The above statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties, and skills required of personnel so classified.', 'Texas Dow Employees Credit Union is an equal opportunity employer, dedicated to a policy of non-discrimination in employment on any basis including race, color, age, protected veteran status, sex, religion, disability, genetic information, national origin or other status protected by federal, state or local law. Consistent with the American Disabilities Act, applicants may request accommodations needed to participate in the application process.', 'Job Type: Full-time', 'Pay: $106,000.00 - $140,000.00 per year', 'Benefits:', '401(k)', '401(k) matching', 'Dental insurance', 'Employee discount', 'Health insurance', 'Health savings account', 'Life insurance', 'Paid time off', 'Referral program', 'Retirement plan', 'Tuition reimbursement', 'Vision insurance', 'Experience:', 'Cloud Data Platforms (Azure, Snowflake, Matillion): 5 years (Required)', 'Azure Stack (Integration, Reporting & Analysis Services: 5 years (Required)', 'Data Engineer: 5 years (Required)', 'Work Location: Hybrid remote in Sugar Land, TX 77478']"
IT Data Engineer, Kelly-Moore Paint Company - 3.6 ," Irving, TX", Full-time, Estimated: $95.4K - $121K a year, 3 days ago,"['ITIL Certification', 'Azure', 'Computer Science', 'Data lake', 'Writing skills', 'Architecture', 'English', 'Tableau', '3 years', 'SQL', 'Database management', ""Bachelor's degree"", 'Scripting', 'APIs', 'IT', 'Communication skills', 'Data Science']","[""Kelly-Moore's mission is to provide high quality, innovative products with exceptional service at fair value. What sets Kelly-Moore Paint Company apart from the competitors, is not just premium products but also our amazing team!"", '', 'FULL TIME - Location:', 'Las Colinas, TX', 'OVERVIEW', 'Kelly-Moore Paint Company’s Information Technology department focuses on delivering effective solutions for employees, customers, and vendors. IT is comprised of talented individuals who cohesively drive effective solution strategies within a balanced ecosystem of systems and support. The Data & GRC Team is focused on fulfilling the business needs for data owners and consumers. Providing data governance guidance and meeting regulatory requirements.', '', 'PRIMARY RESPONSIBILITIES:', '', '', 'Provide day-to-day data processing development and support of existing data automation.', '', 'Manage and support the enterprise master data model, as well as inbound and outbound integrations.', '', 'Assist in the development of master data model architecture.', '', 'As needed develop, implement, and document new data integrations.', '', 'Develop data integrations using APIs and cloud native technologies.', '', 'Develop test plans and perform testing and certification of new and/or updated integrations.', '', 'Perform and document change management in line with ITIL and SDCL best practices.', '', 'Proactively fulfill project tasks with minimal supervision and raise any project gaps discovered.', '', 'Work closely IT and business team members to automate processes.', '', 'Act as subject matter expert on data integrations and data schema.', '', 'Support business intelligence projects, working collaboratively with Tableau team.', '', 'Perform all data handling in compliance with applicable regulatory requirements.', '', 'Maintain knowledge and users training documents relevant to data access, authorization, automation, and control.', '', 'Develop new projects as business need arise and document business requirements.', '', 'Perform other duties as assigned.', '', '', 'QUALIFICATIONS:', '', '', '3+ years of progressive experience data processing and/or data integration. Bachelor’s degree in information technology, data science, or equivalent experience.', '', 'Basic level knowledge of scripting languages.', '', 'Intermediate level knowledge of transact SQL or equivalent structured query language.', '', 'Knowledge of on-premises and cloud-based data processing and database systems.', '', 'Azure data lake/factory experience preferred.', '', 'Strong English writing and communication skills in a professional setting.', '', 'Ability to collaborate effectively with cross functional teams.', '', 'Self-motivated with the ability to work autonomously, effectively prioritize and manage multiple concurrent tasks and projects.', '', '', 'REQUIREMENTS:', '', '', 'Experience in database management and business process automation.', '', 'Database management or data science certifications or equivalent experience.', '', 'CompTIA Data+ or Microsoft Certified: Azure Data Engineer Associate a plus.', '', 'ITIL Foundation certification a plus.', '', 'Perform duties on site in Las Colinas 3 days per work week.', '', 'Kelly-Moore provides equal opportunity in all terms and conditions of employment. We will not discriminate against qualified applicants or employees with respect to any terms or conditions of employment because of any basis protected by federal, state, local law including race, color, religion, religious dress or grooming practice, national origin, sex, age, marital status, physical and mental disability, medical condition, veteran status, sexual orientation, gender identity, gender expression, and genetic information.']"
Data Engineer, Southwestern Energy (SWN) - 4.0 ," Spring, TX", Full-time, Estimated: $100K - $127K a year, 4 days ago,"['Power BI', 'Oracle', 'Management', 'Computer Science', '5 years', 'Bachelor of Science', 'R', 'Microsoft SQL Server', 'Information Systems', 'Tableau', 'Databases', 'Analysis skills', ""Bachelor's degree"", 'System testing', 'Scripting', 'Software development', 'APIs', 'ETL', 'SSIS', 'Informatica', 'Python']","['Southwestern Energy', 'is searching for a', 'Data Engineer', 'to join our Corporate IT team.', 'You will analyze user needs and develop solutions to support data science workflows, data and application integrations, analytics platforms, or specialized utility programs with the aim of optimizing operational efficiency while adhering to appropriate data quality and data governance principles. You will work individually and coordinate database development as part of a team and lead small to medium projects and assists on large projects. Functions as primary support for all solutions in one or more discipline(s) and secondary support for multiple solutions in related disciplines. You will report to the BIS Manager and the position is located at our headquarters in Spring, TX.', 'To be successful in this role you will:', 'Write, analyze, review, and rewrite programs, using workflow charts and diagrams, and applying knowledge of computer capabilities, subject matter, and symbolic logic.', 'Perform revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.', 'Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.', 'Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.', 'Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.', 'Develop and perform software system testing and validation procedures.', 'Store, retrieve, and manipulate data for analysis of system capabilities and requirements.', 'Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.', 'Coordinate software system installation and monitor equipment functioning to ensure specifications are met.', 'Consult with engineering staff to evaluate interface between hardware and software, develop specifications and performance requirements, or resolve customer problems.', 'Confer with data processing or project managers to obtain information on limitations or capabilities for data processing projects.', 'Participate in on-call and after-hours support, including weekends and holidays.', 'Lead medium projects as defined by scope', 'Qualifications - External', 'Your Background includes:', 'Bachelor of Science degree in computer science, engineering, or management of information systems is preferred.', 'Minimum of 5 years of software development experience', 'Experience creating dashboards and analysis using tools such as Microsoft PowerBI, TIBCO Spotfire, Tableau, etc. is required.', 'Experience querying and developing Oracle and Microsoft SQL Server databases is required.', 'Experience integrating data using ETL technologies such as Informatica, Dell Boomi, Microsoft SSIS/DTS, etc. is required.', 'Experience integrating applications using APIs and scripting languages. Python/R is a plus.', 'Knowledge of WellView, SiteView, Enertia, and other upstream oil and gas systems is a plus.', 'Ability to communicate ideas in both technical and user-friendly language', 'Strong customer focus mindset', 'Job Type: Full-time', 'Benefits:', '401(k)', 'Dental insurance', 'Health insurance', 'Paid time off', 'Vision insurance', 'Schedule:', 'Monday to Friday', 'Ability to commute/relocate:', 'Spring, TX 77389: Reliably commute or planning to relocate before starting work (Required)', 'Work Location: In person']"
Data Center Lead Engineer, Iron Systems - 3.2 ," Richardson, TX",, Estimated: $98.2K - $124K a year, 4 days ago,,"['Date Posted:', '', '7/5/2023', '', 'Job Function:', '', 'Software Development', '', 'Location:', '', 'Richardson TX - USA', '', 'Offered Salary:', '', 'Competitive']"
Data Engineer, RumbleOn - 4.4 ," Irving, TX", Full-time," $115,000 - $125,000 a year", 3 days ago,"['Data modeling', 'Azure', 'Computer Science', 'Kubernetes', '5 years', 'Spark', 'NoSQL', 'Google Cloud Platform', 'Java', ""Master's degree"", 'Databases', 'SQL', 'AWS', 'Docker', ""Bachelor's degree"", 'Distributed systems', 'Scala', 'Terraform', 'Scripting', 'Apache', 'Kafka', 'Unit testing', 'Business requirements', 'Data warehouse', 'Python', 'Kitchen experience', 'Hadoop']","['As a Senior Data Engineer, you will be responsible for architecting, building, and maintaining scalable data infrastructure to support our data-driven initiatives. You will collaborate closely with cross-functional teams, including analysts, stakeholders, and software engineers, to design and implement data solutions that meet business requirements. Your expertise will be essential in ensuring data integrity, performance, and security while optimizing data processes for efficiency and scalability.', 'Responsibilities:', '', 'Design, develop, and maintain data infrastructure, including data pipelines, ETL processes, and data warehouses, to support data-intensive applications, analytics, and business intelligence.', '', 'Collaborate with stakeholders to gather data requirements and translate them into scalable data solutions.', '', 'Identify, evaluate, and implement appropriate tools and technologies for data ingestion, storage, processing, and analysis.', '', 'Ensure the reliability, availability, and performance of data platforms through monitoring, troubleshooting, and optimization.', '', 'Develop and enforce data governance policies, including data quality standards, privacy, and security protocols.', '', 'Lead and mentor junior data engineers, providing technical guidance and fostering a culture of continuous learning and improvement.', '', 'Collaborate with cross-functional teams to understand data needs and design efficient data models, schemas, and data transformation processes.', '', 'Stay up-to-date with industry trends, emerging technologies, and best practices in data engineering and recommend enhancements to existing systems and processes.', '', 'Participate in code reviews, perform unit testing, and maintain documentation to ensure code quality, maintainability, and knowledge sharing.', '', 'Proactively identify and resolve performance bottlenecks, data issues, and technical challenges related to data processing and storage.', '', 'Requirements', '', ""Bachelor's degree in Computer Science, Engineering, or a related field. A Master's degree is a plus."", '', 'Proven experience (5+ years) as a Data Engineer or similar role, with a strong focus on building scalable data infrastructure.', '', 'Strong proficiency in data modeling, data warehousing concepts, and SQL.', '', 'Expertise in designing and implementing data pipelines, ETL processes, and workflow orchestration using tools such as Apache Airflow, AWS Glue or similar.', '', 'Proficiency in programming languages such as Python, Java, or Scala for data processing and scripting.', '', 'Solid understanding of distributed systems, cloud platforms (e.g., AWS, Azure, GCP), and big data technologies (e.g., Hadoop, Spark, Kafka).', '', 'Experience with data integration and streaming technologies, such as AWS Kinesis Data Streams/Firehose, Apache Nifi, or similar.', '', 'Strong knowledge of database technologies (e.g., SQL databases, NoSQL databases, columnar databases).', '', 'Familiarity with containerization (e.g., Docker, Kubernetes) and infrastructure-as-code tools (e.g., Terraform) is a plus.', '', 'Excellent problem-solving skills, attention to detail, and the ability to work in a fast-paced, dynamic environment.', '', 'Benefits', 'What RumbleOn Offers You:', ""A fun, relaxed, and casual work environment with awesome people by your side working as a team to ensure the entire group's success! Plus..."", '', 'Healthcare, Dental, & Vision Insurance (RumbleOn pays a generous portion of medical premium!)', '', 'PTO Plan & Public Holidays Off', '', 'Close knit, open, inviting environment where you can make your mark and where your ideas are heard!', '', 'Employee discounts on purchases', '', 'Extremely competitive compensation packages commensurate with experience and skillset', '', 'Fully stocked kitchen with drinks and snacks all day', '', 'Fun company events', '', 'The opportunity for growth and a solid long term career...we promote from within!!', '', 'Casual Dress code', '', 'Training and full support while you learn', '', 'And more…', '', '*All applicants must pass pre-employment testing to include: background checks, MVR, and drug testing in order to qualify for employment*·']"
